Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded
27,1,Jordyn Brooks,Texas Tech,ILB,Seattle,-56,25,Texas,False
28,1,Patrick Queen,LSU,OLB,Baltimore,+7,25,Louisiana,False
29,1,A.J. Epenesa,Iowa,EDGE,Tennessee,+6,25,Iowa,False
30,1,Grant Delpit,LSU,S,Miami (Trade),-6,35,Louisiana,True
31,1,Antoine Winfield Jr.,Minnesota,S,Minnesota (Trade),-1,35,Minnesota,True
32,1,Josh Jones,Houston,OT,Kansas City,+4,25,Texas,False
33,2,Xavier McKinney,Alabama,S,Cincinnati,+14,20,Alabama,False
34,2,Denzel Mims,Baylor,WR,Indianapolis (Trade),-6,30,Texas,True
35,2,Shane Lemieux,Oregon,OG,Detroit,-29,20,Oregon,False
36,2,Isaiah Wilson,Georgia,OT,NY Giants (Trade),-17,30,Georgia,True
37,2,Marlon Davidson,Auburn,DL5T,New England,-28,20,Alabama,False
38,2,Netane Muti,Fresno State,OG,Carolina,+11,20,California,False
39,2,Kristian Fulton,LSU,CB,Miami,+9,20,Louisiana,False
40,2,Zack Baun,Wisconsin,OLB,Houston (Trade),+1,30,Wisconsin,True
41,2,Jeff Gladney,TCU,CB,Cleveland,-15,20,Texas,False
42,2,Ezra Cleveland,Boise State,OT,Jacksonville,-19,20,Idaho,False
43,2,Trevon Diggs,Alabama,CB,Chicago (Trade),+21,30,Alabama,True
44,2,Ross Blacklock,TCU,DL3T,Indianapolis,+10,20,Texas,False
45,2,D'Andre Swift,Georgia,RB,Tampa Bay,+16,20,Georgia,False
46,2,Lloyd Cushenberry,LSU,OC,Denver,+1,20,Louisiana,False
47,2,Neville Gallimore,Oklahoma,DL3T,Atlanta,+4,20,Oklahoma,False
48,2,Laviska Shenault,Colorado,WR,NY Jets,+15,20,Colorado,False
49,2,Tyler Biadasz,Wisconsin,OC,Pittsburgh,-51,15,Wisconsin,False
50,2,Kyle Dugger,Lenoir–Rhyne,S,Chicago,+6,15,North Carolina,False
51,2,Terrell Lewis,Alabama,EDGE,Dallas,+4,15,Alabama,False
52,2,Bryce Hall,Virginia,CB,LA Rams,-7,15,Virginia,False
53,2,Michael Pittman Jr.,USC,WR,Philadelphia (Trade),-16,25,California,True
54,2,J.K. Dobbins,Ohio State,RB,Buffalo,+0,15,Ohio,False
55,2,Julian Okwara,Notre Dame,EDGE,Baltimore (Trade),-21,25,Indiana,True
56,2,Clyde Edwards-Helaire,LSU,RB,Miami (Trade),-42,25,Louisiana,True
57,2,Cam Akers,Florida State,RB,LA Rams (Trade),-28,25,Florida,True
58,2,Jaylon Johnson,Utah,CB,Minnesota,+12,15,Utah,False
59,2,Damien Lewis,LSU,OG,Seattle,-9,15,Louisiana,False
60,2,Ben Bartch,St. John's,OG,Baltimore,-29,15,Minnesota,False
61,2,Hunter Bryant,Washington,TE,Tennessee,+11,15,Washington,False
62,2,Jordan Elliott,Missouri,DL3T,Green Bay,+10,15,Missouri,False
63,2,Malik Harrison,Ohio State,ILB,Kansas City (Trade),+14,25,Ohio,True
64,2,Chase Claypool,Notre Dame,WR,Seattle (Trade),-17,25,Indiana,True
65,3,Yetur Gross-Matos,Penn State,EDGE,Cincinnati,+40,10,Pennsylvania,False
66,3,Tee Higgins,Clemson,WR,Washington,+46,10,South Carolina,False
67,3,Curtis Weaver,Boise State,EDGE,Detroit,+1,10,Idaho,False
68,3,Noah Igbinoghene,Auburn,CB,NY Jets (Trade),+6,20,Alabama,True
69,3,Troy Dye,Oregon,ILB,Carolina,+6,10,Oregon,False
70,3,Jabari Zuniga,Florida,EDGE,Miami,+13,10,Florida,False
71,3,Jacob Eason,Washington,QB,New England (Trade),+23,20,Washington,True
72,3,Matt Peart,Connecticut,OT,Arizona,-6,10,Connecticut,False
73,3,Davon Hamilton,Ohio State,DL1T,Jacksonville,+6,10,Ohio,False
74,3,Jeremy Chinn,Southern Illinois,S,Cleveland,-12,10,Illinois,False
75,3,Cole Kmet,Notre Dame,TE,Indianapolis,+1,10,Indiana,False
76,3,K.J. Hamler,Penn State,WRS,Tampa Bay,+18,10,Pennsylvania,False
77,3,Cameron Dantzler,Mississippi State,CB,Denver,-2,10,Mississippi,False
78,3,Darrell Taylor,Tennessee,EDGE,Atlanta,-13,10,Tennessee,False
79,3,Matt Hennessy,Temple,OC,NY Jets,-26,10,Pennsylvania,False
80,3,Josh Uche,Michigan,OLB,Las Vegas,+3,10,Michigan,False
81,3,Tyler Johnson,Minnesota,WR,Las Vegas (Trade),+8,20,Minnesota,True
82,3,Troy Pride Jr.,Notre Dame,CB,Dallas,+0,10,Indiana,False
83,3,Devin Duvernay,Texas,WRS,Denver (Trade),-24,20,Texas,True
84,3,Logan Wilson,Wyoming,ILB,LA Rams,-6,10,Wyoming,False
85,3,Davion Taylor,Colorado,OLB,Detroit (Trade),-7,20,Colorado,True
86,3,Robert Hunt,Louisiana-Lafayette,OT,Buffalo,+6,10,Louisiana,False
87,3,Justin Madubuike,Texas A&M,DL3T,New England,+56,10,Texas,False
88,3,Amik Robertson,Louisiana Tech,CB,New Orleans,+0,10,Louisiana,False
89,3,Raekwon Davis,Alabama,DL3T,Minnesota,+19,10,Alabama,False
90,3,Darnay Holmes,UCLA,CB,Houston,-14,10,California,False
91,3,Jonathan Taylor,Wisconsin,RB,Las Vegas (Trade),+50,20,Wisconsin,True
92,3,Bryan Edwards,South Carolina,WR,Baltimore,-3,10,South Carolina,False
93,3,Jonah Jackson,Ohio State,OG,Tennessee,-4,10,Ohio,False
94,3,Jack Driscoll,Auburn,OT,Green Bay,-47,10,Alabama,False
95,3,Leki Fotu,Utah,DL1T,Denver (Trade),-26,20,Utah,True
96,3,Zack Moss,Utah,RB,Kansas City,+12,10,Utah,False
97,3,Logan Stenberg,Kentucky,OG,Cleveland (Trade),-5,20,Kentucky,True
98,3,Harrison Bryant,Florida Atlantic,TE,New England (Comp),+2,10,Florida,False
99,3,Antonio Gandy-Golden,Liberty,WR,NY Giants (Comp),-4,10,Virginia,False
100,3,K.J. Hill,Ohio State,WR,New England (Comp),-12,10,Ohio,False
101,3,Bradlee Anae,Utah,EDGE,Seattle (Comp),-10,10,Utah,False
102,3,Ashtyn Davis,California,S,Pittsburgh (Comp),+15,10,California,False
103,3,Akeem Davis-Gaither,Appalachian State,OLB,Philadelphia (Comp),+2,10,North Carolina,False
104,4,Jonathan Greenard,Florida,EDGE,LA Rams (Comp),-9,8,Florida,False
105,4,K'Von Wallace,Clemson,CB,Minnesota (Comp),-9,8,South Carolina,False
106,4,James Lynch,Baylor,DL5T,Baltimore (Comp),+51,8,Texas,False
107,4,McTelvin Agim,Arkansas,DL3T,Cincinnati,+36,8,Arkansas,False
108,4,Prince Tega Wanogho,Auburn,OT,Washington,+0,8,Alabama,False
109,4,Gabriel Davis,UCF,WR,Detroit,-6,8,Florida,False
110,4,Alton Robinson,Syracuse,EDGE,NY Giants,-7,8,New York,False
111,4,Jason Strowbridge,North Carolina,DL5T,Houston (Trade),+12,18,North Carolina,True
112,4,Hakeem Adeniji,Kansas,OT,LA Chargers,+2,8,Kansas,False
113,4,Terrell Burgess,Utah,S,Carolina,+20,8,Utah,False
114,4,A.J. Dillon,Boston College,RB,Arizona,-4,8,Massachusetts,False
115,4,Alex Highsmith,Charlotte,EDGE,Cleveland,-8,8,North Carolina,False
116,4,Jacob Phillips,LSU,ILB,Jacksonville,+7,8,Louisiana,False
117,4,Donovan Peoples-Jones,Michigan,WR,Minnesota (Trade),-9,18,Michigan,True
118,4,Trevis Gipson,Tulsa,DL5T,Denver,+2,8,Oklahoma,False
119,4,Nick Harris,Washington,OC,Atlanta,+13,8,Washington,False
120,4,Anfernee Jennings,Alabama,EDGE,NY Jets,-14,8,Alabama,False
121,4,Ke'Shawn Vaughn,Vanderbilt,RBF,Las Vegas,-17,8,Tennessee,False
122,4,Willie Gay Jr.,Mississippi State,OLB,Indianapolis,+28,8,Mississippi,False
123,4,Jalen Hurts,Oklahoma,QB,Dallas,+51,8,Oklahoma,False
124,4,Rashard Lawrence,LSU,DL1T,Pittsburgh,-1,8,Louisiana,False
125,4,Khaleke Hudson,Michigan,OLB,New England (Trade),-12,18,Michigan,True
126,4,Calvin Throckmorton,Oregon,OT,LA Rams,-2,8,Oregon,False
127,4,Larrell Murchison,NC State,DL3T,Philadelphia,-2,8,North Carolina,False
128,4,Lamar Jackson,Nebraska,CB,Buffalo,-8,8,Nebraska,False
129,4,Cam Brown,Penn State,ILB,Baltimore (Trade),+5,18,Pennsylvania,True
130,4,John Simpson,Clemson,OG,New Orleans,+1,8,South Carolina,False
131,4,Lavert Hill,Michigan,CB,Arizona,-19,8,Michigan,False
132,4,Khalid Kareem,Notre Dame,EDGE,Minnesota,-35,8,Indiana,False
133,4,Casey Toohill,Stanford,EDGE,Seattle,-67,8,California,False
134,4,Carlos Davis,Nebraska,DL1T,Atlanta,-6,8,Nebraska,False
135,4,Markus Bailey,Purdue,ILB,Pittsburgh (Trade),-5,18,Indiana,True
